restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
#FeelTheROLL,quick bites,3.4,7,200.0,No,No,fast food,bellandur,bellandur
#L-81 Cafe,quick bites,3.9,48,400.0,Yes,No,"fast food, beverages","byresandra,tavarekere,madiwala",hsr
#refuel,cafe,3.7,37,400.0,Yes,No,"cafe, beverages",bannerghatta road,bannerghatta road
'@ Biryani Central,casual dining,2.7,135,550.0,Yes,No,"biryani, mughlai, chinese",marathahalli,marathahalli
'@ The Bbq,casual dining,2.8,40,700.0,Yes,No,"bbq, continental, north indian, chinese, beverages",bellandur,bellandur
'@99,"takeaway, delivery",3.4,37,200.0,No,No,"mughlai, biryani, chinese, north indian",whitefield,whitefield
'@Italy,casual dining,4.1,305,700.0,Yes,No,italian,banashankari,kumaraswamy layout
'@North Parontha Hut,"takeaway, delivery",2.8,40,300.0,No,No,north indian,indiranagar,old airport road
1000 B.C,quick bites,3.2,49,300.0,Yes,No,"arabian, sandwich, rolls, burger","byresandra,tavarekere,madiwala",koramangala 5th block
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,casual dining,3.7,41,450.0,No,No,"biryani, north indian","byresandra,tavarekere,madiwala",btm
11 to 11 Express Biriyanis,quick bites,3.5,22,300.0,Yes,No,"biryani, kebab",electronic city,electronic city
1131 Bar + Kitchen,"bar, casual dining",4.4,2861,1500.0,No,Yes,"continental, asian, italian, north indian",old airport road,indiranagar
12th Main - Grand Mercure,fine dining,4.1,353,2000.0,No,Yes,"european, asian","byresandra,tavarekere,madiwala",koramangala 3rd block
1441 Pizzeria,casual dining,4.1,119,800.0,Yes,No,"pizza, salad",basavanagudi,jp nagar
1522 - The Pub,pub,4.2,1731,1400.0,Yes,No,"chinese, continental, north indian",malleshwaram,malleshwaram
154 Breakfast Club,cafe,4.0,1509,900.0,Yes,Yes,"cafe, continental","byresandra,tavarekere,madiwala",koramangala 3rd block
1722 Urban Bistro,casual dining,4.1,218,600.0,Yes,Yes,"north indian, chinese, fast food, biryani","byresandra,tavarekere,madiwala",koramangala 5th block
18+ Ice Cafe,cafe,3.5,24,550.0,No,No,"cafe, fast food, chinese, beverages",kalyan nagar,kammanahalli
1947,casual dining,3.9,620,1000.0,No,Yes,"north indian, chinese, continental",rajajinagar,rajajinagar
1980s Games Cafe,cafe,3.4,58,400.0,Yes,No,"cafe, fast food",banashankari,basavanagudi
1992 Chats - Space,quick bites,3.7,33,200.0,Yes,No,street food,malleshwaram,rajajinagar
1Q1,"casual dining, bar",4.3,595,2500.0,No,Yes,"asian, japanese, thai, malaysian, vietnamese, korean, chinese",brigade road,infantry road
1TO3 Kitchen,delivery,3.1,11,800.0,No,No,"north indian, chinese, continental, italian, south indian",marathahalli,marathahalli
2 Statez,casual dining,3.7,209,600.0,Yes,No,"kerala, seafood, south indian, north indian, chinese",kalyan nagar,kalyan nagar
20 Char - Sterlings MAC Hotel,"casual dining, bar",4.0,419,1400.0,Yes,Yes,"chinese, continental, north indian, south indian, arabian",indiranagar,old airport road
20 Feet High,"casual dining, bar",4.0,932,1000.0,Yes,Yes,"american, continental, steak, salad",brigade road,church street
21 C - La Marvella Sarovar Premiere Hotel,casual dining,3.6,15,1000.0,No,No,continental,basavanagudi,jayanagar
24 Carats - The Capitol,casual dining,3.1,46,1000.0,No,No,"asian, continental",brigade road,cunningham road
24 Hours Cake Delivery,delivery,3.3,4,700.0,No,No,bakery,indiranagar,old airport road
24 Hours Coffee Drop - La Classic,cafe,3.4,9,800.0,No,No,cafe,electronic city,electronic city
24/7 - The Lalit Ashok Bangalore,fine dining,4.0,344,3000.0,No,Yes,"continental, north indian, italian, chinese",malleshwaram,seshadripuram
24/7 Food Service,"takeaway, delivery",2.9,7,300.0,Yes,No,"south indian, north indian, fast food","byresandra,tavarekere,madiwala",jp nagar
24@43 - The Oterra,fine dining,4.1,268,3000.0,No,Yes,"north indian, asian, continental",electronic city,electronic city
24th Main,casual dining,4.1,1234,800.0,No,Yes,"north indian, south indian, chinese",bannerghatta road,jp nagar
29 Degrees North,quick bites,3.9,283,250.0,Yes,No,"north indian, fast food, street food",kalyan nagar,banaswadi
2nd Home Restaurant,quick bites,3.7,21,500.0,Yes,No,"south indian, north indian, chinese","byresandra,tavarekere,madiwala",btm
3 Leafs,casual dining,3.7,128,600.0,Yes,No,"north indian, south indian, chinese",marathahalli,kaggadasapura
3 Spice,casual dining,3.9,156,450.0,Yes,No,"north indian, chinese",koramangala 7th block,wilson garden
30 Square,quick bites,4.2,556,400.0,Yes,No,"tibetan, nepalese, momos","byresandra,tavarekere,madiwala",koramangala 5th block
360 Atoms Restaurant And Cafe,cafe,3.1,13,400.0,Yes,No,"cafe, chinese, continental, italian",banashankari,banashankari
36th Cross Coffee Mane,casual dining,3.7,29,500.0,No,No,"north indian, chinese",jp nagar,btm
37 China Town,casual dining,3.5,58,900.0,No,No,"chinese, thai, north indian, south indian, continental",lavelle road,race course road
"3B's - Buddies, Bar & Barbecues","casual dining, bar",4.4,1149,1100.0,No,Yes,"north indian, mediterranean, european, bbq","byresandra,tavarekere,madiwala",btm
3G's - Gulp & Groove,"bar, casual dining",4.1,662,1100.0,Yes,Yes,"finger food, continental, chinese",malleshwaram,malleshwaram
3rd Innings,"casual dining, bar",3.0,17,1000.0,No,No,"burger, italian, north indian, chinese",electronic city,electronic city
4 Mangoes,kiosk,3.7,14,200.0,No,No,ice cream,indiranagar,old airport road
4 Seasons Restaurant,casual dining,3.7,399,1000.0,Yes,Yes,"north indian, seafood, middle eastern, chinese",kalyan nagar,kalyan nagar
4 States,food court,3.2,4,400.0,No,No,south indian,sarjapur road,bellandur
46 Ounces Brewgarden,microbrewery,2.8,40,1600.0,No,Yes,"bar food, finger food, pizza",electronic city,electronic city
4700BC Popcorn,"takeaway, delivery",4.1,55,500.0,No,No,fast food,whitefield,whitefield
4Foodiez,quick bites,3.6,82,300.0,Yes,No,"south indian, north indian, chinese",electronic city,electronic city
4Foodiez - The Restaurant,quick bites,3.0,23,400.0,No,No,"street food, chinese, north indian, south indian",electronic city,electronic city
4K Biryani,delivery,3.3,4,700.0,Yes,No,"north indian, chinese",hsr,hsr
4th Tea Block,cafe,4.0,62,150.0,No,No,cafe,basavanagudi,jayanagar
5 Star Food,quick bites,2.8,40,300.0,Yes,No,"south indian, fast food",frazer town,kammanahalli
50-50 EATING HOUSE,quick bites,3.2,4,100.0,No,No,"south indian, biryani",banashankari,basavanagudi
52 Wall Street,"bar, casual dining",3.9,737,1400.0,No,No,"american, continental, finger food","byresandra,tavarekere,madiwala",koramangala 6th block
55 Wall Street,bar,3.9,1763,1300.0,No,Yes,"finger food, north indian, chinese",bannerghatta road,jp nagar
56 Bhoga Sweets,"takeaway, delivery",3.6,51,150.0,No,No,"mithai, street food",hsr,hsr
5th Main Cafe,cafe,3.5,15,250.0,No,No,"cafe, fast food","byresandra,tavarekere,madiwala",hsr
7 Days Restaurant,quick bites,3.8,478,400.0,Yes,No,"north indian, chinese, arabian",electronic city,electronic city
7 Degrees North,casual dining,3.5,11,500.0,No,No,north indian,hsr,hsr
7 Hills Andhra Mess,mess,3.4,8,300.0,No,No,andhra,indiranagar,cv raman nagar
7 Plates,casual dining,3.5,531,600.0,Yes,No,"north indian, mughlai, rolls, fast food",kammanahalli,kalyan nagar
7 Shanghai,quick bites,3.5,18,250.0,Yes,No,chinese,electronic city,electronic city
7 Spice,quick bites,3.4,5,250.0,No,No,"biryani, chinese",kalyan nagar,banaswadi
7 to 11 Food Court,quick bites,3.7,16,200.0,Yes,No,"fast food, burger, north indian, south indian",frazer town,banaswadi
70 Brigade - Iris Hotel,casual dining,3.9,105,1000.0,No,Yes,"chinese, north indian, pizza",brigade road,brigade road
7Biryanis,casual dining,3.2,4,600.0,Yes,No,"andhra, biryani",kalyan nagar,nagawara
7th Heaven,bakery,3.6,17,300.0,No,No,"bakery, desserts",new bel road,new bel road
8 Slice,delivery,3.7,74,600.0,Yes,No,pizza,brigade road,koramangala 6th block
9 Bowls,quick bites,2.8,40,500.0,Yes,No,"healthy food, continental, north indian, chinese",hsr,koramangala 1st block
90's,quick bites,2.8,40,200.0,No,No,north indian,hsr,hsr
90's Beer Cafe - Hotel Millennium Plaza,bar,3.0,7,1000.0,No,No,finger food,electronic city,electronic city
90's Cafe,quick bites,2.8,40,500.0,No,No,"fast food, burger",jayanagar,jp nagar
99 Caffe,quick bites,3.6,106,250.0,Yes,No,"south indian, north indian, chinese",brookefield,brookefield
99 Pancakes,dessert parlor,4.1,41,150.0,Yes,No,"desserts, ice cream",brigade road,church street
99 Variety Dosa & Pav Bhaji,quick bites,3.8,16,250.0,Yes,No,"south indian, north indian, street food",koramangala 5th block,koramangala 6th block
99 Variety Dosa and Pav Bhaji,quick bites,4.0,101,250.0,Yes,No,"south indian, north indian, street food","byresandra,tavarekere,madiwala",hsr
99 Variety Dose-Biryanis-Starters,"takeaway, delivery",2.8,40,300.0,Yes,No,"south indian, north indian, fast food, chinese",hsr,hsr
99Foods,quick bites,3.4,32,400.0,No,No,"biryani, north indian, chinese, kebab",marathahalli,marathahalli
9D Foods,quick bites,4.0,458,400.0,Yes,No,"north indian, street food",brookefield,marathahalli
9th Cross Cafe,cafe,3.6,12,550.0,No,No,"cafe, italian, french",indiranagar,jeevan bhima nagar
A 1 Pizza and Food,delivery,2.8,211,300.0,Yes,No,"pizza, chinese, north indian",indiranagar,old airport road
A Bar,bar,3.3,19,600.0,No,No,"north indian, continental","byresandra,tavarekere,madiwala",hsr
A Hole Lotta Love Cafe,cafe,4.3,2871,600.0,Yes,No,"cafe, american, burger, sandwich, beverages",koramangala 4th block,koramangala 5th block
A Little For Love,bakery,3.4,12,350.0,No,No,bakery,kalyan nagar,hennur
A M Biryani Hotel,quick bites,3.3,6,300.0,Yes,No,"north indian, chinese, biryani, fast food",bannerghatta road,bannerghatta road
A Southern Fair,casual dining,3.0,19,750.0,Yes,No,"biryani, seafood, south indian",whitefield,whitefield
A Today Thick Shakes,beverage shop,3.2,9,200.0,No,No,beverages,jayanagar,koramangala 5th block
A.M New Punjab Food Corner,quick bites,3.5,21,350.0,Yes,No,"north indian, chinese","byresandra,tavarekere,madiwala",koramangala 1st block
A1 Ambur Dum Biryani And Parota Centre,quick bites,3.2,4,300.0,No,No,biryani,rajajinagar,basaveshwara nagar
A1 Biriyani Point,quick bites,3.0,10,200.0,No,No,biryani,malleshwaram,seshadripuram
A1 Garam Masala,casual dining,3.6,25,500.0,Yes,No,"north indian, andhra, chinese",jp nagar,kanakapura road
A1 Hot Dum Biryani,quick bites,3.2,4,150.0,No,No,biryani,whitefield,whitefield
A1 Spice Inn,casual dining,3.5,46,500.0,No,No,"biryani, chinese, hyderabadi, north indian, south indian",malleshwaram,yeshwantpur
A2B - Adyar Ananda Bhavan,casual dining,2.5,544,400.0,Yes,No,"south indian, north indian, chinese, street food, fast food",whitefield,whitefield
A2B Veg - Adyar Ananda Bhavan,casual dining,2.7,97,400.0,Yes,No,"south indian, fast food, street food",basavanagudi,basavanagudi
A3 Nuwang Kitchen,quick bites,3.7,42,300.0,Yes,No,"chinese, north indian",indiranagar,ejipura
Aaccord Restaurant,casual dining,2.8,40,600.0,No,No,"continental, north indian, chinese","byresandra,tavarekere,madiwala",btm
