restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,clean_name
#FeelTheROLL,quick bites,3.4,7,200.0,No,No,fast food,bellandur,bellandur,FeelTheROLL
#L-81 Cafe,quick bites,3.9,48,400.0,Yes,No,"fast food, beverages","byresandra,tavarekere,madiwala",hsr,L-81 Cafe
#refuel,cafe,3.7,37,400.0,Yes,No,"cafe, beverages",bannerghatta road,bannerghatta road,refuel
'@ Biryani Central,casual dining,2.7,135,550.0,Yes,No,"biryani, mughlai, chinese",marathahalli,marathahalli,Biryani Central
'@ The Bbq,casual dining,2.8,40,700.0,Yes,No,"bbq, continental, north indian, chinese, beverages",bellandur,bellandur,The Bbq
'@99,"takeaway, delivery",3.4,37,200.0,No,No,"mughlai, biryani, chinese, north indian",whitefield,whitefield,99
'@Italy,casual dining,4.1,305,700.0,Yes,No,italian,banashankari,kumaraswamy layout,Italy
'@North Parontha Hut,"takeaway, delivery",2.8,40,300.0,No,No,north indian,indiranagar,old airport road,North Parontha Hut
1000 B.C,quick bites,3.2,49,300.0,Yes,No,"arabian, sandwich, rolls, burger","byresandra,tavarekere,madiwala",koramangala 5th block,1000 B.C
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,casual dining,3.7,41,450.0,No,No,"biryani, north indian","byresandra,tavarekere,madiwala",btm,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C
11 to 11 Express Biriyanis,quick bites,3.5,22,300.0,Yes,No,"biryani, kebab",electronic city,electronic city,11 to 11 Express Biriyanis
1131 Bar + Kitchen,"bar, casual dining",4.4,2861,1500.0,No,Yes,"continental, asian, italian, north indian",old airport road,indiranagar,1131 Bar + Kitchen
12th Main - Grand Mercure,fine dining,4.1,353,2000.0,No,Yes,"european, asian","byresandra,tavarekere,madiwala",koramangala 3rd block,12th Main - Grand Mercure
1441 Pizzeria,casual dining,4.1,119,800.0,Yes,No,"pizza, salad",basavanagudi,jp nagar,1441 Pizzeria
1522 - The Pub,pub,4.2,1731,1400.0,Yes,No,"chinese, continental, north indian",malleshwaram,malleshwaram,1522 - The Pub
154 Breakfast Club,cafe,4.0,1509,900.0,Yes,Yes,"cafe, continental","byresandra,tavarekere,madiwala",koramangala 3rd block,154 Breakfast Club
1722 Urban Bistro,casual dining,4.1,218,600.0,Yes,Yes,"north indian, chinese, fast food, biryani","byresandra,tavarekere,madiwala",koramangala 5th block,1722 Urban Bistro
18+ Ice Cafe,cafe,3.5,24,550.0,No,No,"cafe, fast food, chinese, beverages",kalyan nagar,kammanahalli,18+ Ice Cafe
1947,casual dining,3.9,620,1000.0,No,Yes,"north indian, chinese, continental",rajajinagar,rajajinagar,1947
1980s Games Cafe,cafe,3.4,58,400.0,Yes,No,"cafe, fast food",banashankari,basavanagudi,1980s Games Cafe
1992 Chats - Space,quick bites,3.7,33,200.0,Yes,No,street food,malleshwaram,rajajinagar,1992 Chats - Space
1Q1,"casual dining, bar",4.3,595,2500.0,No,Yes,"asian, japanese, thai, malaysian, vietnamese, korean, chinese",brigade road,infantry road,1Q1
1TO3 Kitchen,delivery,3.1,11,800.0,No,No,"north indian, chinese, continental, italian, south indian",marathahalli,marathahalli,1TO3 Kitchen
2 Statez,casual dining,3.7,209,600.0,Yes,No,"kerala, seafood, south indian, north indian, chinese",kalyan nagar,kalyan nagar,2 Statez
20 Char - Sterlings MAC Hotel,"casual dining, bar",4.0,419,1400.0,Yes,Yes,"chinese, continental, north indian, south indian, arabian",indiranagar,old airport road,20 Char - Sterlings MAC Hotel
20 Feet High,"casual dining, bar",4.0,932,1000.0,Yes,Yes,"american, continental, steak, salad",brigade road,church street,20 Feet High
21 C - La Marvella Sarovar Premiere Hotel,casual dining,3.6,15,1000.0,No,No,continental,basavanagudi,jayanagar,21 C - La Marvella Sarovar Premiere Hotel
24 Carats - The Capitol,casual dining,3.1,46,1000.0,No,No,"asian, continental",brigade road,cunningham road,24 Carats - The Capitol
24 Hours Cake Delivery,delivery,3.3,4,700.0,No,No,bakery,indiranagar,old airport road,24 Hours Cake Delivery
24 Hours Coffee Drop - La Classic,cafe,3.4,9,800.0,No,No,cafe,electronic city,electronic city,24 Hours Coffee Drop - La Classic
24/7 - The Lalit Ashok Bangalore,fine dining,4.0,344,3000.0,No,Yes,"continental, north indian, italian, chinese",malleshwaram,seshadripuram,24/7 - The Lalit Ashok Bangalore
24/7 Food Service,"takeaway, delivery",2.9,7,300.0,Yes,No,"south indian, north indian, fast food","byresandra,tavarekere,madiwala",jp nagar,24/7 Food Service
24@43 - The Oterra,fine dining,4.1,268,3000.0,No,Yes,"north indian, asian, continental",electronic city,electronic city,24@43 - The Oterra
24th Main,casual dining,4.1,1234,800.0,No,Yes,"north indian, south indian, chinese",bannerghatta road,jp nagar,24th Main
29 Degrees North,quick bites,3.9,283,250.0,Yes,No,"north indian, fast food, street food",kalyan nagar,banaswadi,29 Degrees North
2nd Home Restaurant,quick bites,3.7,21,500.0,Yes,No,"south indian, north indian, chinese","byresandra,tavarekere,madiwala",btm,2nd Home Restaurant
3 Leafs,casual dining,3.7,128,600.0,Yes,No,"north indian, south indian, chinese",marathahalli,kaggadasapura,3 Leafs
3 Spice,casual dining,3.9,156,450.0,Yes,No,"north indian, chinese",koramangala 7th block,wilson garden,3 Spice
30 Square,quick bites,4.2,556,400.0,Yes,No,"tibetan, nepalese, momos","byresandra,tavarekere,madiwala",koramangala 5th block,30 Square
360 Atoms Restaurant And Cafe,cafe,3.1,13,400.0,Yes,No,"cafe, chinese, continental, italian",banashankari,banashankari,360 Atoms Restaurant And Cafe
36th Cross Coffee Mane,casual dining,3.7,29,500.0,No,No,"north indian, chinese",jp nagar,btm,36th Cross Coffee Mane
37 China Town,casual dining,3.5,58,900.0,No,No,"chinese, thai, north indian, south indian, continental",lavelle road,race course road,37 China Town
"3B's - Buddies, Bar & Barbecues","casual dining, bar",4.4,1149,1100.0,No,Yes,"north indian, mediterranean, european, bbq","byresandra,tavarekere,madiwala",btm,"3B's - Buddies, Bar & Barbecues"
3G's - Gulp & Groove,"bar, casual dining",4.1,662,1100.0,Yes,Yes,"finger food, continental, chinese",malleshwaram,malleshwaram,3G's - Gulp & Groove
3rd Innings,"casual dining, bar",3.0,17,1000.0,No,No,"burger, italian, north indian, chinese",electronic city,electronic city,3rd Innings
4 Mangoes,kiosk,3.7,14,200.0,No,No,ice cream,indiranagar,old airport road,4 Mangoes
4 Seasons Restaurant,casual dining,3.7,399,1000.0,Yes,Yes,"north indian, seafood, middle eastern, chinese",kalyan nagar,kalyan nagar,4 Seasons Restaurant
4 States,food court,3.2,4,400.0,No,No,south indian,sarjapur road,bellandur,4 States
46 Ounces Brewgarden,microbrewery,2.8,40,1600.0,No,Yes,"bar food, finger food, pizza",electronic city,electronic city,46 Ounces Brewgarden
4700BC Popcorn,"takeaway, delivery",4.1,55,500.0,No,No,fast food,whitefield,whitefield,4700BC Popcorn
4Foodiez,quick bites,3.6,82,300.0,Yes,No,"south indian, north indian, chinese",electronic city,electronic city,4Foodiez
4Foodiez - The Restaurant,quick bites,3.0,23,400.0,No,No,"street food, chinese, north indian, south indian",electronic city,electronic city,4Foodiez - The Restaurant
4K Biryani,delivery,3.3,4,700.0,Yes,No,"north indian, chinese",hsr,hsr,4K Biryani
4th Tea Block,cafe,4.0,62,150.0,No,No,cafe,basavanagudi,jayanagar,4th Tea Block
5 Star Food,quick bites,2.8,40,300.0,Yes,No,"south indian, fast food",frazer town,kammanahalli,5 Star Food
50-50 EATING HOUSE,quick bites,3.2,4,100.0,No,No,"south indian, biryani",banashankari,basavanagudi,50-50 EATING HOUSE
52 Wall Street,"bar, casual dining",3.9,737,1400.0,No,No,"american, continental, finger food","byresandra,tavarekere,madiwala",koramangala 6th block,52 Wall Street
55 Wall Street,bar,3.9,1763,1300.0,No,Yes,"finger food, north indian, chinese",bannerghatta road,jp nagar,55 Wall Street
56 Bhoga Sweets,"takeaway, delivery",3.6,51,150.0,No,No,"mithai, street food",hsr,hsr,56 Bhoga Sweets
5th Main Cafe,cafe,3.5,15,250.0,No,No,"cafe, fast food","byresandra,tavarekere,madiwala",hsr,5th Main Cafe
7 Days Restaurant,quick bites,3.8,478,400.0,Yes,No,"north indian, chinese, arabian",electronic city,electronic city,7 Days Restaurant
7 Degrees North,casual dining,3.5,11,500.0,No,No,north indian,hsr,hsr,7 Degrees North
7 Hills Andhra Mess,mess,3.4,8,300.0,No,No,andhra,indiranagar,cv raman nagar,7 Hills Andhra Mess
7 Plates,casual dining,3.5,531,600.0,Yes,No,"north indian, mughlai, rolls, fast food",kammanahalli,kalyan nagar,7 Plates
7 Shanghai,quick bites,3.5,18,250.0,Yes,No,chinese,electronic city,electronic city,7 Shanghai
7 Spice,quick bites,3.4,5,250.0,No,No,"biryani, chinese",kalyan nagar,banaswadi,7 Spice
7 to 11 Food Court,quick bites,3.7,16,200.0,Yes,No,"fast food, burger, north indian, south indian",frazer town,banaswadi,7 to 11 Food Court
70 Brigade - Iris Hotel,casual dining,3.9,105,1000.0,No,Yes,"chinese, north indian, pizza",brigade road,brigade road,70 Brigade - Iris Hotel
7Biryanis,casual dining,3.2,4,600.0,Yes,No,"andhra, biryani",kalyan nagar,nagawara,7Biryanis
7th Heaven,bakery,3.6,17,300.0,No,No,"bakery, desserts",new bel road,new bel road,7th Heaven
8 Slice,delivery,3.7,74,600.0,Yes,No,pizza,brigade road,koramangala 6th block,8 Slice
9 Bowls,quick bites,2.8,40,500.0,Yes,No,"healthy food, continental, north indian, chinese",hsr,koramangala 1st block,9 Bowls
90's,quick bites,2.8,40,200.0,No,No,north indian,hsr,hsr,90's
90's Beer Cafe - Hotel Millennium Plaza,bar,3.0,7,1000.0,No,No,finger food,electronic city,electronic city,90's Beer Cafe - Hotel Millennium Plaza
90's Cafe,quick bites,2.8,40,500.0,No,No,"fast food, burger",jayanagar,jp nagar,90's Cafe
99 Caffe,quick bites,3.6,106,250.0,Yes,No,"south indian, north indian, chinese",brookefield,brookefield,99 Caffe
99 Pancakes,dessert parlor,4.1,41,150.0,Yes,No,"desserts, ice cream",brigade road,church street,99 Pancakes
99 Variety Dosa & Pav Bhaji,quick bites,3.8,16,250.0,Yes,No,"south indian, north indian, street food",koramangala 5th block,koramangala 6th block,99 Variety Dosa & Pav Bhaji
99 Variety Dosa and Pav Bhaji,quick bites,4.0,101,250.0,Yes,No,"south indian, north indian, street food","byresandra,tavarekere,madiwala",hsr,99 Variety Dosa and Pav Bhaji
99 Variety Dose-Biryanis-Starters,"takeaway, delivery",2.8,40,300.0,Yes,No,"south indian, north indian, fast food, chinese",hsr,hsr,99 Variety Dose-Biryanis-Starters
99Foods,quick bites,3.4,32,400.0,No,No,"biryani, north indian, chinese, kebab",marathahalli,marathahalli,99Foods
9D Foods,quick bites,4.0,458,400.0,Yes,No,"north indian, street food",brookefield,marathahalli,9D Foods
9th Cross Cafe,cafe,3.6,12,550.0,No,No,"cafe, italian, french",indiranagar,jeevan bhima nagar,9th Cross Cafe
A 1 Pizza and Food,delivery,2.8,211,300.0,Yes,No,"pizza, chinese, north indian",indiranagar,old airport road,A 1 Pizza and Food
A Bar,bar,3.3,19,600.0,No,No,"north indian, continental","byresandra,tavarekere,madiwala",hsr,A Bar
A Hole Lotta Love Cafe,cafe,4.3,2871,600.0,Yes,No,"cafe, american, burger, sandwich, beverages",koramangala 4th block,koramangala 5th block,A Hole Lotta Love Cafe
A Little For Love,bakery,3.4,12,350.0,No,No,bakery,kalyan nagar,hennur,A Little For Love
A M Biryani Hotel,quick bites,3.3,6,300.0,Yes,No,"north indian, chinese, biryani, fast food",bannerghatta road,bannerghatta road,A M Biryani Hotel
A Southern Fair,casual dining,3.0,19,750.0,Yes,No,"biryani, seafood, south indian",whitefield,whitefield,A Southern Fair
A Today Thick Shakes,beverage shop,3.2,9,200.0,No,No,beverages,jayanagar,koramangala 5th block,A Today Thick Shakes
A.M New Punjab Food Corner,quick bites,3.5,21,350.0,Yes,No,"north indian, chinese","byresandra,tavarekere,madiwala",koramangala 1st block,A.M New Punjab Food Corner
A1 Ambur Dum Biryani And Parota Centre,quick bites,3.2,4,300.0,No,No,biryani,rajajinagar,basaveshwara nagar,A1 Ambur Dum Biryani And Parota Centre
A1 Biriyani Point,quick bites,3.0,10,200.0,No,No,biryani,malleshwaram,seshadripuram,A1 Biriyani Point
A1 Garam Masala,casual dining,3.6,25,500.0,Yes,No,"north indian, andhra, chinese",jp nagar,kanakapura road,A1 Garam Masala
A1 Hot Dum Biryani,quick bites,3.2,4,150.0,No,No,biryani,whitefield,whitefield,A1 Hot Dum Biryani
A1 Spice Inn,casual dining,3.5,46,500.0,No,No,"biryani, chinese, hyderabadi, north indian, south indian",malleshwaram,yeshwantpur,A1 Spice Inn
A2B - Adyar Ananda Bhavan,casual dining,2.5,544,400.0,Yes,No,"south indian, north indian, chinese, street food, fast food",whitefield,whitefield,A2B - Adyar Ananda Bhavan
A2B Veg - Adyar Ananda Bhavan,casual dining,2.7,97,400.0,Yes,No,"south indian, fast food, street food",basavanagudi,basavanagudi,A2B Veg - Adyar Ananda Bhavan
A3 Nuwang Kitchen,quick bites,3.7,42,300.0,Yes,No,"chinese, north indian",indiranagar,ejipura,A3 Nuwang Kitchen
Aaccord Restaurant,casual dining,2.8,40,600.0,No,No,"continental, north indian, chinese","byresandra,tavarekere,madiwala",btm,Aaccord Restaurant
Aadhya Hotel,"casual dining, bar",3.3,5,800.0,Yes,No,"south indian, north indian, chinese, biryani",banashankari,basavanagudi,Aadhya Hotel
Aadvik Nightfood,delivery,3.6,22,350.0,Yes,No,fast food,frazer town,frazer town,Aadvik Nightfood
Aagaman Veg,casual dining,2.8,40,900.0,Yes,No,"north indian, chinese, south indian",electronic city,electronic city,Aagaman Veg
Aaha,quick bites,3.6,93,300.0,Yes,No,"north indian, chinese",marathahalli,brookefield,Aaha
Aaha Andhra,casual dining,3.4,58,900.0,No,No,"andhra, biryani, north indian",marathahalli,marathahalli,Aaha Andhra
Aahar Cafe,quick bites,3.5,40,100.0,No,No,south indian,basavanagudi,basavanagudi,Aahar Cafe
Aahar Vihar,quick bites,4.0,68,250.0,Yes,No,north indian,brookefield,marathahalli,Aahar Vihar
Aahara Vihar,quick bites,3.5,13,300.0,No,No,"south indian, north indian, chinese",malleshwaram,malleshwaram,Aahara Vihar
Aaharam,quick bites,4.0,65,350.0,No,No,"chinese, north indian",hsr,koramangala 1st block,Aaharam
Aalishan Restaurant & Caterer,casual dining,3.5,888,650.0,Yes,No,"north indian, mughlai","byresandra,tavarekere,madiwala",koramangala 7th block,Aalishan Restaurant & Caterer
Aami Bangali,casual dining,3.0,66,700.0,Yes,No,bengali,"byresandra,tavarekere,madiwala",koramangala 5th block,Aami Bangali
Aami Kolkata,delivery,3.3,5,600.0,No,No,bengali,bannerghatta road,bannerghatta road,Aami Kolkata
Aao G Khao G,quick bites,3.5,11,200.0,Yes,No,"north indian, chinese",hsr,hsr,Aao G Khao G
Aapni Rasoi,quick bites,3.2,127,400.0,Yes,No,north indian,bellandur,bellandur,Aapni Rasoi
Aaranya Restaurant,casual dining,3.4,212,800.0,Yes,No,"north indian, chinese, mughlai","byresandra,tavarekere,madiwala",hsr,Aaranya Restaurant
Aarti Paratha & Rolls Corner,quick bites,3.6,15,200.0,Yes,No,"north indian, fast food",new bel road,new bel road,Aarti Paratha & Rolls Corner
Aarya Pork Hotel,quick bites,3.3,11,300.0,No,No,"south indian, biryani, chinese","byresandra,tavarekere,madiwala",btm,Aarya Pork Hotel
Aashirvaad Restaurant,quick bites,3.1,249,300.0,Yes,No,"north indian, oriya, chinese",brookefield,marathahalli,Aashirvaad Restaurant
Aashish Foods,quick bites,2.7,35,150.0,Yes,No,north indian,brookefield,brookefield,Aashish Foods
Aasife & Brothers Biriyani Centre,casual dining,3.8,120,600.0,Yes,No,"biryani, north indian, south indian, chinese","byresandra,tavarekere,madiwala",hsr,Aasife & Brothers Biriyani Centre
Aastha Bengali Mess,quick bites,3.9,131,250.0,Yes,No,"chinese, bengali",malleshwaram,yeshwantpur,Aastha Bengali Mess
Aata's Kitchen,quick bites,2.8,40,250.0,Yes,No,"south indian, north indian","byresandra,tavarekere,madiwala",koramangala 1st block,Aata's Kitchen
Aathithya,casual dining,3.1,16,1100.0,No,No,"north indian, continental, chinese",brigade road,infantry road,Aathithya
Aathurar,casual dining,3.2,574,600.0,Yes,No,"chettinad, biryani, south indian, seafood",indiranagar,jeevan bhima nagar,Aathurar
Abbabi Chicken,quick bites,3.7,134,200.0,No,No,fast food,sarjapur road,bellandur,Abbabi Chicken
ABC Grand,casual dining,3.5,54,400.0,No,No,"andhra, chinese, north indian",old airport road,indiranagar,ABC Grand
Abhiruchi,casual dining,3.8,164,650.0,No,No,"andhra, seafood, north indian, chinese",kalyan nagar,kammanahalli,Abhiruchi
Abhiruchi Andhra Mess,mess,3.1,61,300.0,Yes,No,"andhra, biryani, south indian",whitefield,whitefield,Abhiruchi Andhra Mess
Abhiruchi Hotel,casual dining,3.2,12,500.0,Yes,No,"north indian, south indian, chinese","byresandra,tavarekere,madiwala",bommanahalli,Abhiruchi Hotel
Abhiruchi Moonlight,"takeaway, delivery",3.3,4,300.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",bommanahalli,Abhiruchi Moonlight
Abhiruchi Restaurant,casual dining,3.4,5,400.0,Yes,No,"andhra, north indian, chinese",bellandur,sarjapur road,Abhiruchi Restaurant
AB's - Absolute Barbecues,casual dining,4.6,1502,1400.0,No,Yes,"european, mediterranean, north indian, bbq",kalyan nagar,kalyan nagar,AB's - Absolute Barbecues
Absolute Chinese,quick bites,3.8,209,450.0,Yes,No,"chinese, fast food, momos",malleshwaram,rajajinagar,Absolute Chinese
Absolute Shawarma,"takeaway, delivery",2.8,40,150.0,Yes,No,lebanese,brookefield,brookefield,Absolute Shawarma
Absolute Waffles,dessert parlor,3.9,49,200.0,Yes,No,"desserts, fast food",malleshwaram,new bel road,Absolute Waffles
Aburrahaman,delivery,2.8,40,400.0,No,No,"north indian, south indian, chinese",indiranagar,thippasandra,Aburrahaman
Abzain Paradise,quick bites,2.9,42,300.0,No,No,north indian,new bel road,sanjay nagar,Abzain Paradise
Achayyan's,quick bites,3.8,405,350.0,Yes,No,"kerala, south indian",indiranagar,indiranagar,Achayyan's
Ackley Kitchen,quick bites,3.6,33,500.0,Yes,No,"fast food, continental, burger",marathahalli,kaggadasapura,Ackley Kitchen
Adarsh Bakery,bakery,3.1,10,300.0,No,No,"bakery, fast food",electronic city,electronic city,Adarsh Bakery
Adda,quick bites,3.3,5,300.0,No,No,south indian,basavanagudi,shanti nagar,Adda
Addhuri Udupi Bhojana,quick bites,3.7,88,300.0,No,No,"south indian, north indian",banashankari,banashankari,Addhuri Udupi Bhojana
Adiga's,quick bites,3.3,55,150.0,No,No,south indian,basavanagudi,jayanagar,Adiga's
Adi's Cake N Cafe,bakery,3.3,4,400.0,No,No,bakery,"byresandra,tavarekere,madiwala",bannerghatta road,Adi's Cake N Cafe
Adithya,casual dining,3.9,178,450.0,Yes,No,"south indian, north indian, chinese",bannerghatta road,jp nagar,Adithya
Adithya Family Restaurant,quick bites,3.7,27,250.0,No,No,south indian,"byresandra,tavarekere,madiwala",btm,Adithya Family Restaurant
Adithya Tiffin Centre,"takeaway, delivery",2.8,40,200.0,No,No,north indian,brigade road,shanti nagar,Adithya Tiffin Centre
Adithya Veg,quick bites,3.3,10,300.0,No,No,"south indian, chinese",basavanagudi,jayanagar,Adithya Veg
Aditya Delights,quick bites,3.7,59,300.0,No,No,"chinese, north indian, mangalorean",new bel road,new bel road,Aditya Delights
Aditya Sweets,sweet shop,3.7,21,200.0,Yes,No,"mithai, fast food",brookefield,whitefield,Aditya Sweets
Aditya Uphar,quick bites,3.5,30,200.0,No,No,"south indian, chinese, north indian",jp nagar,jp nagar,Aditya Uphar
Adukkala Restaurant,casual dining,2.9,128,600.0,Yes,No,kerala,kammanahalli,banaswadi,Adukkala Restaurant
Adupadi,quick bites,2.9,25,450.0,No,No,"south indian, chettinad",whitefield,whitefield,Adupadi
Advika Briyani Center,delivery,3.2,10,300.0,No,No,biryani,jp nagar,jp nagar,Advika Briyani Center
Adya Hotel,quick bites,3.3,4,400.0,No,No,"south indian, north indian, chinese",electronic city,electronic city,Adya Hotel
Adyar Anand Bhavan Sweets,quick bites,2.8,40,200.0,No,No,"south indian, north indian, chinese, street food",electronic city,electronic city,Adyar Anand Bhavan Sweets
Adyar Ananda Bhavan - Sweets,"takeaway, delivery",3.4,6,200.0,Yes,No,"mithai, desserts","byresandra,tavarekere,madiwala",btm,Adyar Ananda Bhavan - Sweets
Adyar Ananda Bhavan Sweets,"takeaway, delivery",3.6,4,200.0,Yes,No,"mithai, desserts",jp nagar,jp nagar,Adyar Ananda Bhavan Sweets
Afghani Tandoori Hub,quick bites,3.6,14,400.0,Yes,No,"arabian, afghan","byresandra,tavarekere,madiwala",btm,Afghani Tandoori Hub
Afoozoo - Ginger Hotel,casual dining,3.5,40,800.0,No,No,"north indian, chinese",brookefield,whitefield,Afoozoo - Ginger Hotel
Afrina's Kitchen,"takeaway, delivery",3.4,9,250.0,Yes,No,"fast food, desserts",frazer town,kammanahalli,Afrina's Kitchen
Agarwal Food Service,delivery,3.5,16,400.0,Yes,No,"north indian, chinese, biryani",hsr,hsr,Agarwal Food Service
Agent Jack's Bar,bar,4.0,377,1300.0,No,Yes,"continental, north indian, italian",kalyan nagar,kalyan nagar,Agent Jack's Bar
Agraharaa,quick bites,2.8,40,150.0,No,No,south indian,koramangala 4th block,koramangala 6th block,Agraharaa
Agraharam Meal,"takeaway, delivery",3.7,61,300.0,No,No,"north indian, south indian",marathahalli,kaggadasapura,Agraharam Meal
Aha Juice Bar,beverage shop,3.6,13,200.0,No,No,"beverages, fast food",bannerghatta road,btm,Aha Juice Bar
Ahaan Restaurant,delivery,2.8,76,300.0,Yes,No,"north indian, chinese",frazer town,rt nagar,Ahaan Restaurant
AhimsaAmrit Green Cafe,casual dining,3.4,9,800.0,No,No,"healthy food, salad, continental",indiranagar,indiranagar,AhimsaAmrit Green Cafe
Ahmad's Chicken Hut,quick bites,3.2,9,200.0,No,No,"north indian, chinese",kalyan nagar,banaswadi,Ahmad's Chicken Hut
Ahmed's Little Hut,quick bites,2.8,40,250.0,Yes,No,fast food,bannerghatta road,btm,Ahmed's Little Hut
Ahmeds Takeaway Restaurant,"takeaway, delivery",2.8,40,250.0,No,No,"north indian, chinese",frazer town,frazer town,Ahmeds Takeaway Restaurant
Aioli,casual dining,4.2,783,1400.0,No,Yes,"mediterranean, continental, italian, salad",kalyan nagar,kalyan nagar,Aioli
Airlines Hotel,quick bites,4.0,867,400.0,Yes,No,"south indian, north indian, street food",brigade road,lavelle road,Airlines Hotel
Aisha Tharavad,quick bites,3.5,40,400.0,No,No,"south indian, kerala",koramangala 6th block,ejipura,Aisha Tharavad
Aishwarya,dhaba,3.3,6,450.0,No,No,"chinese, north indian",whitefield,whitefield,Aishwarya
Aishwarya Parkland,casual dining,2.9,59,500.0,No,No,"chinese, north indian",bannerghatta road,bannerghatta road,Aishwarya Parkland
Aishwarya Sweets,sweet shop,3.6,24,250.0,Yes,No,"mithai, street food",malleshwaram,rajajinagar,Aishwarya Sweets
Aishwarya Uphar,quick bites,2.8,40,150.0,No,No,"south indian, north indian",brigade road,ulsoor,Aishwarya Uphar
Ajwa Thalassery Biryani,quick bites,3.9,42,500.0,Yes,Yes,"biryani, south indian",bellandur,sarjapur road,Ajwa Thalassery Biryani
Akkad Bakkad,casual dining,3.9,72,600.0,Yes,Yes,"north indian, chinese",electronic city,electronic city,Akkad Bakkad
AKS Family Dhaba And Restaurant,quick bites,3.6,40,500.0,Yes,No,"north indian, mughlai, south indian",marathahalli,marathahalli,AKS Family Dhaba And Restaurant
Akshara,casual dining,3.8,42,700.0,Yes,No,"north indian, south indian, chinese",electronic city,electronic city,Akshara
Akshatha Nati Style,quick bites,3.7,20,500.0,No,No,"south indian, chinese, north indian",rajajinagar,vijay nagar,Akshatha Nati Style
Akshaya Bar And Restaurant,"casual dining, bar",2.8,40,600.0,Yes,No,"north indian, south indian, chinese, fast food","byresandra,tavarekere,madiwala",koramangala 1st block,Akshaya Bar And Restaurant
AKSHAYA BIRYANI,quick bites,3.6,20,300.0,Yes,No,"biryani, north indian",bellandur,sarjapur road,AKSHAYA BIRYANI
Akshaya Deluxe,casual dining,4.0,336,500.0,Yes,No,"north indian, chinese, seafood, biryani",new bel road,new bel road,Akshaya Deluxe
Akshaya Donne Biriyani,quick bites,3.0,39,300.0,Yes,No,"biryani, south indian, kebab",jp nagar,jp nagar,Akshaya Donne Biriyani
Akshaya Family Restaurant,quick bites,3.2,4,150.0,Yes,No,"south indian, north indian",kalyan nagar,banaswadi,Akshaya Family Restaurant
